标准实体编号,标准实体名称,实体类型,别名集合,定义或备注,代表来源文档,代表来源页码,代表证据句,关联原始实体数,累计提及次数,最高置信度,复核状态
SE0298,气动弹性耦合,性能指标,,并减小噪声。随着电推进技术的日益成熟，多桨倾转机翼电驱动飞行器将是新构型高速旋翼飞行器发展的重要方向之一［92］。但是，倾转机翼飞行器面临着机翼/旋翼气动弹性耦合特性分析［93］、过渡模式动力学建模［…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,26,并减小噪声。随 着电推进技术的日益成熟，多桨倾转机翼电驱动 飞行器将是新构型高速旋翼飞行器发展的重要 方向之一 ［92］。但是，倾转机翼飞行器面临着机 翼/旋翼气动弹性耦合特性分析 ［93］、过渡模式动 力学建模 ［94］等关键技术难题，亟需开展过渡模式 下气动弹性、气动性能、操稳特性等 ［95-96］相关 研究。 2. 3 动力,1,1,0.9,已规范化
SE0299,气动性能,性能指标,气动特性；空气动力学特性；aerodynamic performance,4.2.2双翼的二维空气动力学特性.........................................................35,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,9,4.2.2 双翼的二维空气动力学特性 ......................................................... 35,4,52,0.95,已规范化
SE0300,气动收益,性能指标,,气动收益。此外，还存在非连续蒙皮变形使局部应,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,4,气动收益。此外，还存在非连续蒙皮变形使局部应,1,5,0.95,已规范化
SE0301,气动效率,性能指标,,的角度论成本。单纯追求气动效率与飞行性能的极,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,4,的角度论成本。单纯追求气动效率与飞行性能的极,1,17,0.95,已规范化
SE0302,气动特性恶化,性能指标,,致变构部位热流沉积和气动特性恶化，亟需建立,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,致变构部位热流沉积和气动特性恶化，亟需建立,1,1,0.9,已规范化
SE0303,气动补偿措施,性能指标,,航空学报629595-10型成果。F-14采用双垂尾正常式气动布局，能根据飞行状态自动调整后掠角。可变后掠机翼飞行器的设计存在2个问题：驱动结构增加飞机重量、结构复杂度，气动中心在变后掠过程中的大幅度…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,10,航 空 学 报 629595-10 型成果。F-14 采用双垂尾正常式气动布局，能根 据飞行状态自动调整后掠角。 可变后掠机翼飞行器的设计存在2 个问题： 驱动结构增加飞机重量、结构复杂度，气动中心 在变后掠过程中的大幅度变化严重影响整机的 操稳性能。针对气动中心的变化往往会采取气 动补偿措施，如F-14 飞机在机翼固定段前缘设计 了可动扇翼维持气动中心变化时的俯仰平衡。 前期可变后掠机翼的应用基本针对常规布局飞 行器，未对气动布局形式,1,1,0.9,已规范化
SE0304,气动设计,性能指标,,度高，在气动设计、飞行控制、结构机构等多方面均,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,度高，在气动设计、飞行控制、结构机构等多方面均,1,15,0.95,已规范化
SE0305,气动载荷,性能指标,,蒙皮很厚，腹板较多，翼肋较少，蒙皮的气动载荷直接传递给腹板，再通过腹,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,118,蒙皮很厚，腹板较多，翼肋较少，蒙皮的气动载荷直接传递给腹板，再通过腹,1,6,0.95,已规范化
SE0306,流动分离,性能指标,,飞行，流动分离和非定常效应明显，阻力系数显著,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,3,飞行，流动分离和非定常效应明显，阻力系数显著,1,10,0.95,已规范化
SE0307,流场,性能指标,,对无粘不可压流场中儒科夫斯基翼型厚度、弯度的,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,对无粘不可压流场中儒科夫斯基翼型厚度、弯度的,1,20,0.95,已规范化
SE0308,流场变化,性能指标,,航空学报629595-6结构［24］等实现机翼局部或者大面积的柔性变形，进而提高变体飞行器的气动和操稳特性；另一方面通过智能控制技术［25］充分发挥变体飞行器的环境自适应特性。飞行器的柔性变形主要包括…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,航 空 学 报 629595-6 结构 ［24］等实现机翼局部或者大面积的柔性变形， 进而提高变体飞行器的气动和操稳特性；另一方 面通过智能控制技术 ［25］充分发挥变体飞行器的 环境自适应特性。飞行器的柔性变形主要包括 机翼连续变弯度和机翼扭转。这一阶段的变体 技术在多种气动布局形式上都有所应用，满足了 提高飞行性能的需求。 2 不同部位变体技术研究进展 飞行器不同部位的变形会带来不同的性能 增益。本节将按照变形部位分类综述飞行器头,1,1,0.9,已规范化
SE0309,流场建模,性能指标,,流场建模时采用全模进行建模。首先生成壁面的,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,2,流场建模时采用全模进行建模。首先生成壁面的,1,1,0.9,已规范化
SE0310,滚转力矩,性能指标,,图5.6变体过程中产生的滚转力矩.............................................................84,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,15,图 5.6 变体过程中产生的滚转力矩 ............................................................. 84,1,13,0.95,已规范化
SE0311,激波阻力,性能指标,,速飞行时则机翼向后转动，此时飞机的后掠角增大，有利于降低激波阻力，提高,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,25,速飞行时则机翼向后转动，此时飞机的后掠角增大，有利于降低激波阻力，提高,1,5,0.95,已规范化
SE0312,热流分布,性能指标,,利于在再入段快速减速。同时由于其机翼收起，相较于传统的航天飞机采用40°攻角的姿态进行再入飞行的情况，有望降低翼面峰值热流(图6)。(a)展开构型热流分布1776,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,3,利于在再入段快速减速。同时由于 其机翼收起，相较于传统的航天飞机采用40°攻角 的姿态进行再入飞行的情况，有望降低翼面峰值 热流(图6)。 (a)展开构型热流分布 1776,1,2,0.9,已规范化
SE0313,热流分布计算,性能指标,,热流分布计算是评价飞行器气动、结构、稳定性或任务能力的重要指标。,待人工补充,,,1,0,0.6,已规范化
SE0314,热流沉积,性能指标,,热流沉积、偏转和旋转过程的非定常效应是推动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,8,热流沉积、偏转和旋转过程的非定常效应是推动,1,3,0.95,已规范化
SE0315,燃油效率,性能指标,,大展弦比机翼飞机在燃油效率、高升阻比方,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,19,大展弦比机翼飞机在燃油效率、高升阻比方,1,4,0.95,已规范化
SE0316,燃油消耗,性能指标,降低油耗,燃油消耗是评价飞行器气动、结构、稳定性或任务能力的重要指标。,待人工补充,,,1,0,0.6,已规范化
SE0317,纵向压心系数,性能指标,,的亚声速条件下纵向压心系数随攻角的变化曲线。,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,5,的亚声速条件下纵向压心系数随攻角的变化曲线。,1,1,0.9,已规范化
SE0318,纵向稳定性,性能指标,,3.1.1折叠构型高超声速飞行纵向稳定性,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,4,3.1.1 折叠构型高超声速飞行纵向稳定性,1,4,0.95,已规范化
SE0319,纵向静稳定性,性能指标,,翼方案。3种变形方案纵向静稳定性品质均较高，,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,10,翼方案。3 种变形方案纵向静稳定性品质均较高，,1,4,0.95,已规范化
SE0320,翼尖涡,性能指标,,图4.53变体开始阶段机翼的压力分布和翼尖涡情况..................................70,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,14,图 4.53 变体开始阶段机翼的压力分布和翼尖涡情况 .................................. 70,1,6,0.95,已规范化
SE0321,翼展,性能指标,,可以使飞机在起降和巡航两个飞行阶段拥有不同的翼展和气动外形，进而解决大,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,可以使飞机在起降和巡航两个飞行阶段拥有不同的翼展和气动外形，进而解决大,1,20,0.95,已规范化
SE0322,翼展比,性能指标,,图4.32双翼机的翼展比示意......................................................................57,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,13,图 4.32 双翼机的翼展比示意 ...................................................................... 57,1,19,0.95,已规范化
SE0323,航向气动导数,性能指标,,况，因此，不能简单从航向气动导数来判定飞行器,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,5,况，因此，不能简单从航向气动导数来判定飞行器,1,2,0.9,已规范化
SE0324,航向稳定性,性能指标,,2024年中国航天大会论文集图14折叠构型荷兰滚模态判据曲线3.2.3展开构型亚声速飞行横向静稳定性对于展开构型，讨论其在亚声速飞行状态下的横向稳定性。图15给出了在0.4Ma和0.8Ma的亚声速…,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,6,2024 年中国航天大会论文集 图14 折叠构型荷兰滚模态判据曲线 3.2.3 展开构型亚声速飞行横向静稳定性 对于展开构型，讨论其在亚声速飞行状态下的 横向稳定性。图 15给出了在 0.4 Ma  和 0.8 Ma  的 亚声速条件下展开构型横向气动导数随攻角变化曲 线。可以看出，在0°～90°攻角下，𝐶௟ఉ始终为负，表 明展开构型在亚声速条件下横向是静稳定的。 图15 展开构型横向气动导数 3.2.4 展开构型,1,2,0.9,已规范化
SE0325,航向静稳定性,性能指标,,3.2.2折叠构型高超声速飞行航向静稳定性,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,5,3.2.2 折叠构型高超声速飞行航向静稳定性,1,4,0.95,已规范化
SE0326,航程,性能指标,,由于有航程需求，升阻比被认为是飞行器气动,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,4,由于有航程需求，升阻比被认为是飞行器气动,1,20,0.95,已规范化
SE0327,诱导阻力,性能指标,,说，增大机翼的展弦比，是降低诱导阻力，提高巡航升阻比的最有效手段。但大,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,说，增大机翼的展弦比，是降低诱导阻力，提高巡航升阻比的最有效手段。但大,1,20,0.95,已规范化
SE0328,质心位置,性能指标,,纵向稳定性以及相应的配平能力与质心位置密,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,4,纵向稳定性以及相应的配平能力与质心位置密,1,1,0.9,已规范化
SE0329,起降翼展,性能指标,,图2.7在不同重量代价下，应用变体技术减少了50%起降翼展后RQ-4A的,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,12,图 2.7 在不同重量代价下，应用变体技术减少了50%起降翼展后RQ-4A 的,1,20,0.95,已规范化
SE0330,起飞升力,性能指标,,高升力装置的机械变形提高飞机起飞升力，缩短,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,高升力装置的机械变形提高飞机起飞升力，缩短,1,1,0.9,已规范化
SE0331,轴向力系数增量,性能指标,,量，ΔCx为轴向力系数增量)、更小的气动阻力。,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,量，ΔC x 为轴向力系数增量)、更小的气动阻力。,1,1,0.9,已规范化
SE0332,载荷,性能指标,,在高速高动压下翼面载荷大，折叠/展开困难,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,在高速高动压下翼面载荷大，折叠/展开困难,1,20,0.95,已规范化
SE0333,重心位置,性能指标,,纵向静稳定性与固定翼飞行器相似，随重心位置,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,25,纵向静稳定性与固定翼飞行器相似，随重心位置,1,2,0.9,已规范化
SE0334,重量代价,性能指标,,图2.7在不同重量代价下，应用变体技术减少了50%起降翼展后RQ-4A的,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,12,图 2.7 在不同重量代价下，应用变体技术减少了50%起降翼展后RQ-4A 的,1,10,0.95,已规范化
SE0335,阵风,性能指标,,飞机重量、减小阻力、抑制颤振、减缓阵风、机动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,飞机重量、减小阻力、抑制颤振、减缓阵风、机动,1,1,0.9,已规范化
SE0336,阵风响应,性能指标,减缓阵风,航空学报629595-3变形来提高气动效率，变体设计方案如图2［5］所示，飞行试验结果表明自适应机翼在设计巡航点阻力减少了约7%，非设计点的阻力减少了20%以上［5］。1985年，NASA与洛克韦尔公…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,航 空 学 报 629595-3 变形来提高气动效率，变体设计方案如图2 ［5］所 示，飞行试验结果表明自适应机翼在设计巡航点 阻力减少了约7%，非设计点的阻力减少了20% 以上 ［5］。 1985 年，NASA 与洛克韦尔公司合作开展了 主动柔性机翼(Active Flexible Wing， AFW)项 目 ［6］，1996 年扩展为主动气动弹性机翼(Active Aeroelastic Wing， AAW)计划 ［7］。该项目采,2,2,0.9,已规范化
SE0337,阻力,性能指标,降低阻力,的展弦比。因此，提高飞机的展弦比，是飞机降低阻力、增大航程最有效和最直,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,的展弦比。因此，提高飞机的展弦比，是飞机降低阻力、增大航程最有效和最直,2,24,0.95,已规范化
SE0338,阻力系数,性能指标,,阻力系数下降；从结构专业的角度出发，回答实现,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,4,阻力系数下降；从结构专业的角度出发，回答实现,1,20,0.95,已规范化
SE0339,零升攻角,性能指标,,图4.5上下机翼处于不同位置时机翼的零升攻角.......................................39,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,12,图 4.5 上下机翼处于不同位置时机翼的零升攻角 ....................................... 39,1,20,0.95,已规范化
SE0340,零升阻力,性能指标,,图2.3固定翼飞机在不同巡航升力系数和零升阻力系数下对应的气动最优展,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,11,图 2.3 固定翼飞机在不同巡航升力系数和零升阻力系数下对应的气动最优展,1,10,0.95,已规范化
SE0341,非定常气动力,性能指标,,的非定常气动力建模工作，所建立的多项式模型较,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,的非定常气动力建模工作，所建立的多项式模型较,1,9,0.95,已规范化
SE0342,颤振,性能指标,抑制颤振,飞机重量、减小阻力、抑制颤振、减缓阵风、机动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,飞机重量、减小阻力、抑制颤振、减缓阵风、机动,2,5,0.95,已规范化
SE0343,飞行包线,性能指标,拓宽飞行包线,7.2.1单-双折叠翼变体飞行器的飞行包线与变体包线.........................103,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,10,7.2.1 单-双折叠翼变体飞行器的飞行包线与变体包线 ......................... 103,2,17,0.95,已规范化
SE0344,飞行品质,性能指标,,和经济性。军用远程大型运输机除了上述优点外，还能提高隐身性能。除此之外，该技术还可以应用到长航时无人机、战斗机、小型无人机等飞行器上以改善飞行性能、提高飞行品质。不同飞行状态下飞行器对机翼前后缘变弯度…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,23,和经济性。军用远程 大型运输机除了上述优点外，还能提高隐身性 能。除此之外，该技术还可以应用到长航时无人 机、战斗机、小型无人机等飞行器上以改善飞行 性能、提高飞行品质。 不同飞行状态下飞行器对机翼前后缘变弯 度的需求如图53 ［21］所示，可以通过前后缘变弯度 实现不同飞行状态下最佳的气动效率、控制飞行 姿态，进而优化飞行性,1,2,0.9,已规范化
SE0345,飞行性能,性能指标,,行模式下的飞行性能，应根据变构飞行器的多任务,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,行模式下的飞行性能，应根据变构飞行器的多任务,1,20,0.95,已规范化
SE0346,飞行油耗,性能指标,,实现后缘的智能变弯度，有效降低了飞行油耗,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,实现后缘的智能变弯度，有效降低了飞行油耗,1,1,0.9,已规范化
SE0347,飞行速度,性能指标,,外形和物理属性根据飞行任务、飞行速度、飞行环,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,外形和物理属性根据飞行任务、飞行速度、飞行环,1,6,0.95,已规范化
SE0348,飞行静稳定性,性能指标,,特性，可适应低马赫数远距离滑翔任务需求。(a)展开构型升力系数(b)展开构型阻力系数(c)展开构型升阻比图7展开构型升阻特性3飞行静稳定性分析3.1纵向稳定性分析3.1.1折叠构型高超声速飞行纵向稳定…,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,4,特性，可适应低马赫数远距离滑翔 任务需求。 (a)展开构型升力系数 (b)展开构型阻力系数 (c)展开构型升阻比 图 7展开构型升阻特性 3 飞行静稳定性分析 3.1 纵向稳定性分析 3.1.1 折叠构型高超声速飞行纵向稳定性 纵向稳定性以及相应的配平能力与质心位置密 切相关。图8给出了折叠构型在 12 M,1,1,0.9,已规范化
SE0349,飞行高度,性能指标,,1km，飞行马赫数从12Ma到0.4Ma，每个飞行高度,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,3,1 km，飞行马赫数从12 Ma到0.4 Ma，每个飞行高度,1,6,0.95,已规范化
SE0350,马赫数,性能指标,,力的空天飞行器设计方案。通过计算流体力学(CFD)方法，对折叠构型和展开构型的空天飞行器在不同高度、不同马赫数、,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,力的空天飞行器设计方案。通过计算流体力学(CFD)方法，对折叠构型和展开构型的空天飞行器在不同高度、不同马赫数、,1,20,0.95,已规范化
SE0351,高升力,性能指标,,高升力装置的机械变形提高飞机起飞升力，缩短,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,高升力装置的机械变形提高飞机起飞升力，缩短,1,3,0.95,已规范化
SE0352,高升阻比特性,性能指标,,在大攻角下实现稳定飞行。展开构型在低马赫数下呈现出高升阻比特性，利于低空滑翔。在跨域飞行中，通过变构技术将两,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,在大攻角下实现稳定飞行。展开构型在低马赫数下呈现出高升阻比特性，利于低空滑翔。在跨域飞行中，通过变构技术将两,1,2,0.9,已规范化
SE0353,高空减速性能,性能指标,,良的高空减速性能，且仍然具备高度的纵向、航向,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,6,良的高空减速性能，且仍然具备高度的纵向、航向,1,1,0.9,已规范化
SE0354,高空大攻角减速,性能指标,,在不同飞行高度的优势，将高空大攻角减速和低空,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,6,在不同飞行高度的优势，将高空大攻角减速和低空,1,1,0.9,已规范化
SE0355,高速性能,性能指标,,变后掠随速度变化后掠角，适用于兼顾低速和高速性能的宽域飞行,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,变后掠 随速度变化后掠角，适用于兼顾低速和高速性能的宽域飞行,1,1,0.9,已规范化
SE0356,高马赫数,性能指标,,进行高马赫数大攻角减速降热，在飞行马赫数降至6,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,2,进行高马赫数大攻角减速降热，在飞行马赫数降至6,1,3,0.95,已规范化
SE0357,一小时全球抵达,任务场景,,一小时全球抵达表示飞行器执行任务时的飞行阶段、速度域、应用环境或任务需求。,待人工补充,,,1,0,0.6,已规范化
SE0358,两级垂直发射,任务场景,,2024年中国航天大会论文集SpaceLiner飞行器为代表下一代空天飞行器概念，可以解决民航客机远距离客运飞行时间过长的问题，其远距离水平滑翔降落的特点充分节省了燃料，但是在高空段由于其大曲率的端头…,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,2,2024 年中国航天大会论文集 SpaceLiner飞行器为代表下一代空天飞行器概念，可 以解决民航客机远距离客运飞行时间过长的问题， 其远距离水平滑翔降落的特点充分节省了燃料，但 是在高空段由于其大曲率的端头和展开翼的存在会 面临较大的防热压力。 传统飞行器性能提升面临天花板，变形飞行器 利用新的技术途径，可显著提升飞行性能、拓展任 务剖面，意义重大且发展潜力突出[10]。由此，笔者 提出了一种可变构型的空天飞行器设计方案，通过,1,1,0.9,已规范化
SE0359,亚声速,任务场景,,动力学设计需在亚声速、超声速、高超声速各个飞,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,动力学设计需在亚声速、超声速、高超声速各个飞,1,20,0.95,已规范化
SE0360,任务需求分析,任务场景,,首先，有必要开展任务需求分析判断是否需,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,首先，有必要开展任务需求分析判断是否需,1,1,0.9,已规范化
SE0361,低空滑翔能力,任务场景,,性、飞行稳定性进行了分析及对比。结果表明，折叠构型在高空高速条件下具备优良的减速性能，并可在大攻角下实现稳定飞行。展开构型在低马赫数下呈现出高升阻比特性，利于低空滑翔。在跨域飞行中，通过变构技术将两种…,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,性、飞行稳定性进行了分析及对比。结果表明，折叠构型在高空高速条件下具备优良的减速性能，并可 在大攻角下实现稳定飞行。展开构型在低马赫数下呈现出高升阻比特性，利于低空滑翔。在跨域飞行中，通过变构技术将两 种构型进行适应性转变可充分发挥不同构型在不同空域速域下的飞行优势，实现高效飞行目标，为未来可重复使用天地往返 运输系统的建设提,1,1,0.82,已规范化
SE0362,再入段,任务场景,,如“星舰”的气动外形能够使其在再入段以最快的速,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,如“星舰”的气动外形能够使其在再入段以最快的速,1,5,0.95,已规范化
SE0363,垂直起降能力,任务场景,,升机垂直起降能力的新概念飞行器一直以来都,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,23,升机垂直起降能力的新概念飞行器一直以来都,1,1,0.9,已规范化
SE0364,大空域,任务场景,,计技术的研究进展和现状进行了综述和分析。最后，展望了变体技术未来研究方向和发展前景，面向宽速域和大空域飞,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,计技术的研究进展和现状进行了综述和分析。最后，展望了变体技术未来研究方向和发展前景，面向宽速域和大空域飞,1,4,0.95,已规范化
SE0365,宽速域,任务场景,,用空天飞行器面临着宽速域飞行工况的挑战，空气,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,用空天飞行器面临着宽速域飞行工况的挑战，空气,1,15,0.95,已规范化
SE0366,巡航翼展,任务场景,,面，则可以在起降翼展不变的情况下，进一步增大飞机的巡航翼展，以拓宽飞,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,46,面，则可以在起降翼展不变的情况下，进一步增大飞机的巡航翼展，以拓宽飞,1,7,0.95,已规范化
SE0367,巡航阶段,任务场景,,［58］所示。在低速巡航阶段，平直翼,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,14,［58］所示。在低速巡航阶段，平直翼,1,2,0.9,已规范化
SE0368,提高低速机动性,任务场景,,航向操纵能力上的不足，提高低速机动性能和起,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,14,航向操纵能力上的不足，提高低速机动性能和起,1,1,0.9,已规范化
SE0369,水平起降,任务场景,,翼根处增加了折展变形机构和柔性蒙皮，使得机翼可以在飞行过程中自由展开和收拢，从而根据任务调整构型，发展了收缩折叠和大翼面展开两种构型，采用两级垂直发射、水平起降(VTHL)方式。(a)折叠构型(b)展…,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,2,翼根处增加了折展 变形机构和柔性蒙皮，使得机翼可以在飞行过程中 自由展开和收拢，从而根据任务调整构型，发展了 收缩折叠和大翼面展开两种构型，采用两级垂直发 射、水平起降(VTHL)方式。 (a)折叠构型 (b)展开构型 图3 空天飞行器折叠及展开构型 2 气动仿真分析及方法 2.1 模型及网格,1,1,0.9,已规范化
SE0370,滑翔段,任务场景,,2024年中国航天大会论文集(b)展开构型热流分布图6折叠构型与展开构型的热流分布2.3.2展开构型低速升阻特性由于有航程需求，升阻比被认为是飞行器气动布局最核心的技术指标之一。在飞行器的无动力滑翔段…,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,4,2024 年中国航天大会论文集 (b)展开构型热流分布 图6 折叠构型与展开构型的热流分布 2.3.2 展开构型低速升阻特性 由于有航程需求，升阻比被认为是飞行器气动 布局最核心的技术指标之一。在飞行器的无动力滑 翔段，其飞行距离与初速和升阻比正相关[11]： 2 2 2 0 ( / ) 1 ( / ) ln 2 1 ( / ) c e c c L D V V V x g V V    (2) 式中：cV,1,1,0.9,已规范化
SE0371,爬升,任务场景,,400km/h，飞行高度爬升至3000m左右，此时飞行的来流动压较高，平飞所需的,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,47,400km/h，飞行高度爬升至3000m 左右，此时飞行的来流动压较高，平飞所需的,1,6,0.95,已规范化
SE0372,盘旋,任务场景,,的盘旋时间增加约75%。由于高速巡航导弹弹,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,20,的盘旋时间增加约75%。由于高速巡航导弹弹,1,1,0.9,已规范化
SE0373,空海跨域任务,任务场景,,空海跨域任务表示飞行器执行任务时的飞行阶段、速度域、应用环境或任务需求。,待人工补充,,,1,0,0.6,已规范化
SE0374,航天运输,任务场景,,摘要：针对跨域飞行航天运输场景，立足需求牵引，结合国内前期已形成的相关技术积累，提出了一种具有折展变构型能,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,摘 要：针对跨域飞行航天运输场景，立足需求牵引，结合国内前期已形成的相关技术积累，提出了一种具有折展变构型能,1,10,0.95,已规范化
SE0375,航班化航天运输系统,任务场景,,靠、可重复使用的航班化航天运输系统是实现规模,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,靠、可重复使用的航班化航天运输系统是实现规模,1,2,0.9,已规范化
SE0376,起降阶段,任务场景,,持一定的爬升率；在起降阶段，飞机的推重比应满足起降距离的要求。在飞行,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,123,持一定的爬升率；在起降阶段，飞机的推重比应满足起降距离的要求。在飞行,1,2,0.9,已规范化
SE0377,起飞距离,任务场景,,图8.15单翼构型和双翼构型的原理验证机起飞速度(左)和起飞距离,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,16,图 8.15 单翼构型和双翼构型的原理验证机起飞速度(左)和起飞距离,1,4,0.95,已规范化
SE0378,超声速,任务场景,,级带翼高超声速飞行器方案。计划2035年左右开展,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,级带翼高超声速飞行器方案。计划2035年左右开展,1,20,0.95,已规范化
SE0379,跨域飞行,任务场景,,摘要：针对跨域飞行航天运输场景，立足需求牵引，结合国内前期已形成的相关技术积累，提出了一种具有折展变构型能,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,摘 要：针对跨域飞行航天运输场景，立足需求牵引，结合国内前期已形成的相关技术积累，提出了一种具有折展变构型能,1,6,0.95,已规范化
SE0380,跨声速,任务场景,,更好的跨声速性能和侧向力控制能力。中国空军装备的无侦-7无人侦察机(图,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,21,更好的跨声速性能和侧向力控制能力。中国空军装备的无侦-7 无人侦察机(图,1,3,0.95,已规范化
SE0381,远距离无动力滑翔能力,任务场景,,2024年中国航天大会论文集(b)展开构型热流分布图6折叠构型与展开构型的热流分布2.3.2展开构型低速升阻特性由于有航程需求，升阻比被认为是飞行器气动布局最核心的技术指标之一。在飞行器的无动力滑翔段…,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,4,2024 年中国航天大会论文集 (b)展开构型热流分布 图6 折叠构型与展开构型的热流分布 2.3.2 展开构型低速升阻特性 由于有航程需求，升阻比被认为是飞行器气动 布局最核心的技术指标之一。在飞行器的无动力滑 翔段，其飞行距离与初速和升阻比正相关[11]： 2 2 2 0 ( / ) 1 ( / ) ln 2 1 ( / ) c e c c L D V V V x g V V    (2) 式中：cV,1,1,0.9,已规范化
SE0382,高超声速,任务场景,,级带翼高超声速飞行器方案。计划2035年左右开展,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,级带翼高超声速飞行器方案。计划2035年左右开展,1,20,0.95,已规范化
SE0383,高速机动,任务场景,,翼技术具有提高飞行器低速和高速机动性、减轻,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,翼技术具有提高飞行器低速和高速机动性、减轻,1,1,0.9,已规范化
SE0384,高速机动性,任务场景,提高高速机动性,高速机动性表示飞行器执行任务时的飞行阶段、速度域、应用环境或任务需求。,待人工补充,,,1,0,0.6,已规范化
