标准关系编号,头标准实体编号,头实体标准名,头实体类型,关系类型,尾标准实体编号,尾实体标准名,尾实体类型,证据句,来源文档,来源页码,置信度,出现次数,抽取方法,复核状态,原始关系编号
SR0866,SE0266,展弦比,性能指标,采用,SE0321,翼展,专业概念,对于大展弦比飞机来说，通过变体减小起降翼展，使飞机满足在航母、小型,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,39,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0483
SR0867,SE0266,展弦比,性能指标,采用,SE0175,翼面积,结构部件,主要通过展弦比、翼面积的变化满足低速飞行和,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,16,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0569
SR0868,SE0266,展弦比,性能指标,采用,SE0482,设计规律,专业概念,本章主要开展了大展弦比变展长变体飞行器设计规律研究，借助于课题组,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,40,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0508
SR0869,SE0266,展弦比,性能指标,采用,SE0329,起降翼展,专业概念,对于大展弦比飞机来说，通过变体减小起降翼展，使飞机满足在航母、小型,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,39,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0482
SR0870,SE0139,展弦比平直机翼,结构部件,采用,SE0089,单翼构型,气动布局,展弦比平直机翼的设计规律，在单翼构型下采用0.4 左右梢根比的大展弦比梯,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,78,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0130
SR0871,SE0139,展弦比平直机翼,结构部件,采用,SE0266,展弦比,性能指标,展弦比平直机翼的设计规律，在单翼构型下采用0.4 左右梢根比的大展弦比梯,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,78,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0369
SR0872,SE0139,展弦比平直机翼,结构部件,采用,SE0286,梢根比,性能指标,展弦比平直机翼的设计规律，在单翼构型下采用0.4 左右梢根比的大展弦比梯,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,78,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0132
SR0873,SE0139,展弦比平直机翼,结构部件,采用,SE0482,设计规律,专业概念,展弦比平直机翼的设计规律，在单翼构型下采用0.4 左右梢根比的大展弦比梯,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,78,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0128
SR0874,SE0366,巡航翼展,任务场景,采用,SE0440,ACADO,项目/机构,体，扩展30%巡航翼展，同时缩减30%起降翼展。通过ACADO 计算得到此,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,138,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0118
SR0875,SE0366,巡航翼展,任务场景,采用,SE0321,翼展,专业概念,上，通过单-双折叠翼变体扩大巡航翼展，则飞机的机翼面积增加，较于原准,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,123,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0466
SR0876,SE0366,巡航翼展,任务场景,采用,SE0175,翼面积,结构部件,上，通过单-双折叠翼变体扩大巡航翼展，则飞机的机翼面积增加，较于原准,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,123,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0468
SR0877,SE0366,巡航翼展,任务场景,采用,SE0329,起降翼展,专业概念,体，扩展30%巡航翼展，同时缩减30%起降翼展。通过ACADO 计算得到此,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,138,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0117
SR0878,SE0389,工程应用,设计问题,采用,SE0054,变后掠翼,变形方式,入工程应用的可变后掠机翼飞行器，其通过外翼,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0320
SR0879,SE0099,常规布局,气动布局,采用,SE0111,连接翼布局,气动布局,接翼布局使用前后串列的机翼排列成菱形，和常规布局相比，连接翼布局菱形的,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0141
SR0880,SE0144,形状记忆合金,结构部件,采用,SE0189,固态驱动器,机构/执行系统,采用新型形状记忆合金设计固态驱动器代替液,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0332
SR0881,SE0102,折叠构型,气动布局,采用,SE0098,展开构型,气动布局,力的空天飞行器设计方案。通过计算流体力学(CFD)方法，对折叠构型和展开构型的空天飞行器在不同高度、不同马赫数、,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0084
SR0882,SE0102,折叠构型,气动布局,采用,SE0350,马赫数,性能指标,力的空天飞行器设计方案。通过计算流体力学(CFD)方法，对折叠构型和展开构型的空天飞行器在不同高度、不同马赫数、,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0341
SR0883,SE0067,折叠翼,变形方式,采用,SE0183,作动器,机构/执行系统,洛克希德.马丁公司为美军研制了一款Z 字形折叠翼变体飞机 ，使用电作动器,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,26,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0368
SR0884,SE0067,折叠翼,变形方式,采用,SE0321,翼展,专业概念,用，如波音777-X 飞机上首次使用了折叠翼尖，用于在滑行或停车时减少翼展，,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,29,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0356
SR0885,SE0392,收益代价,设计问题,采用,SE0440,ACADO,项目/机构,对于单-双折叠翼变体的收益代价，仍借助ACADO 多学科总体设计平台,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,133,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0237
SR0886,SE0392,收益代价,设计问题,采用,SE0474,多学科总体设计,专业概念,对于单-双折叠翼变体的收益代价，仍借助ACADO 多学科总体设计平台,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,133,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0239
SR0887,SE0278,攻角,性能指标,采用,SE0124,副翼,结构部件,在升力重新分配过程中，若固定机翼不改变攻角，通过副翼向下偏转来补,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,130,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0537
SR0888,SE0278,攻角,性能指标,采用,SE0254,升力,性能指标,对于二维翼型来说，通过零升攻角、升力线斜率和最大升力系数三个主要,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,71,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0512
SR0889,SE0278,攻角,性能指标,采用,SE0281,最大升力系数,性能指标,对于二维翼型来说，通过零升攻角、升力线斜率和最大升力系数三个主要,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,71,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0516
SR0890,SE0149,智能材料,结构部件,采用,SE0220,智能控制,控制方法,体是指基于智能材料、智能控制等技术根据不同,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0319
SR0891,SE0149,智能材料,结构部件,采用,SE0150,智能结构,结构部件,智能材料与智能结构技术，通过机翼主动气动弹,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0321
SR0892,SE0150,智能结构,结构部件,采用,SE0149,智能材料,结构部件,段主要是基于智能结构和智能材料实现机翼的,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,36,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0337
SR0893,SE0158,柔性蒙皮,结构部件,采用,SE0183,作动器,机构/执行系统,综合利用记忆合金 和柔性蒙皮 等新型材料、新型作动器、变形结构完,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,27,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0505
SR0894,SE0158,柔性蒙皮,结构部件,采用,SE0337,阻力,性能指标,于机翼留下的开口，将使用柔性蒙皮材料等进行整流，以降低阻力。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,119,0.86,2,规则抽取+标准实体映射+重复三元组去重,已规范化,R0310；R0554
SR0895,SE0159,梁式机翼,结构部件,采用,SE0291,气动力,性能指标,墙、长桁等，如图 6.18 所示 。在梁式机翼中，气动力通过蒙皮传递给,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,117,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0436
SR0896,SE0159,梁式机翼,结构部件,采用,SE0176,蒙皮,结构部件,墙、长桁等，如图 6.18 所示 。在梁式机翼中，气动力通过蒙皮传递给,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,117,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0437
SR0897,SE0286,梢根比,性能指标,采用,SE0254,升力,性能指标,子，减少诱导阻力。但很难通过改变机翼的梢根比来优化双翼的展向升力分,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,73,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0488
SR0898,SE0286,梢根比,性能指标,采用,SE0093,双翼,气动布局,子，减少诱导阻力。但很难通过改变机翼的梢根比来优化双翼的展向升力分,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,73,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0258
SR0899,SE0286,梢根比,性能指标,采用,SE0295,气动外形,性能指标,下机翼的间距外，比较难以通过对梢根比、翼展比等气动外形参数的优化来提,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,78,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0206
SR0900,SE0286,梢根比,性能指标,采用,SE0321,翼展,专业概念,下机翼的间距外，比较难以通过对梢根比、翼展比等气动外形参数的优化来提,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,78,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0447
SR0901,SE0286,梢根比,性能指标,采用,SE0322,翼展比,性能指标,下机翼的间距外，比较难以通过对梢根比、翼展比等气动外形参数的优化来提,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,78,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0204
SR0902,SE0291,气动力,性能指标,采用,SE0124,副翼,结构部件,与传统的变体方式相比，气动力驱动变体是通过驱动副翼或其他气动舵面,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,49,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0509
SR0903,SE0291,气动力,性能指标,采用,SE0088,单翼,气动布局,4)变体能力：原理验证机可以通过气动力驱动完成从单翼到双翼的折叠,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,140,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0542
SR0904,SE0291,气动力,性能指标,采用,SE0093,双翼,气动布局,4)变体能力：原理验证机可以通过气动力驱动完成从单翼到双翼的折叠,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,140,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0544
SR0905,SE0291,气动力,性能指标,采用,SE0049,变体技术,变形方式,概念，这种新型飞行器使用气动力驱动变体，有效解决了现有变体技术在结构重,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,50,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0409
SR0906,SE0291,气动力,性能指标,采用,SE0051,变体过程,变形方式,单-双折叠翼变体飞行器使用气动力驱动自主折叠和展开，在变体过程,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,80,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0546
SR0907,SE0291,气动力,性能指标,采用,SE0055,变展长技术,变形方式,飞行器使用气动力驱动变体，在获得50%变展长能力的同时，极大降低了变体所,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0364
SR0908,SE0291,气动力,性能指标,采用,SE0176,蒙皮,结构部件,墙、长桁等，如图 6.18 所示 。在梁式机翼中，气动力通过蒙皮传递给,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,117,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0435
SR0909,SE0291,气动力,性能指标,采用,SE0345,飞行性能,性能指标,空气动力学特性，提升飞行性能。该项目采用半,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0565
SR0910,SE0195,气动力驱动变体,机构/执行系统,采用,SE0124,副翼,结构部件,与传统的变体方式相比，气动力驱动变体是通过驱动副翼或其他气动舵面,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,49,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0271
SR0911,SE0195,气动力驱动变体,机构/执行系统,采用,SE0088,单翼,气动布局,4)变体能力：原理验证机可以通过气动力驱动完成从单翼到双翼的折叠,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,140,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0295
SR0912,SE0195,气动力驱动变体,机构/执行系统,采用,SE0093,双翼,气动布局,4)变体能力：原理验证机可以通过气动力驱动完成从单翼到双翼的折叠,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,140,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0297
SR0913,SE0195,气动力驱动变体,机构/执行系统,采用,SE0049,变体技术,变形方式,概念，这种新型飞行器使用气动力驱动变体，有效解决了现有变体技术在结构重,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,50,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0408
SR0914,SE0195,气动力驱动变体,机构/执行系统,采用,SE0050,变体方案,变形方式,要使用复杂的作动器外，气动驱动变体方案还使连杆和铰链大大简化，进一步,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,49,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0181
SR0915,SE0195,气动力驱动变体,机构/执行系统,采用,SE0051,变体过程,变形方式,单-双折叠翼变体飞行器使用气动力驱动自主折叠和展开，在变体过程,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,80,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0302
SR0916,SE0195,气动力驱动变体,机构/执行系统,采用,SE0055,变展长技术,变形方式,飞行器使用气动力驱动变体，在获得50%变展长能力的同时，极大降低了变体所,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0119
SR0917,SE0195,气动力驱动变体,机构/执行系统,采用,SE0291,气动力,性能指标,飞行器使用气动力驱动变体，在获得50%变展长能力的同时，极大降低了变体所,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,0.83,2,规则抽取+标准实体映射+重复三元组去重,已规范化,R0363；R0385
SR0918,SE0299,气动性能,性能指标,采用,SE0291,气动力,性能指标,本节中仍使用CFD 方法对变体过程中的空气动力学特性开展研究。考虑,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,80,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0493
SR0919,SE0299,气动性能,性能指标,采用,SE0345,飞行性能,性能指标,空气动力学特性，提升飞行性能。该项目采用半,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0566
SR0920,SE0301,气动效率,性能指标,采用,SE0326,航程,性能指标,的最直接方法，为了提高气动效率、扩大航程，高空长航时飞行器往往采用大展,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,19,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0375
SR0921,SE0301,气动效率,性能指标,采用,SE0036,高空长航时飞行器,飞行器对象,的最直接方法，为了提高气动效率、扩大航程，高空长航时飞行器往往采用大展,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,19,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0138
SR0922,SE0304,气动设计,性能指标,采用,SE0188,变体机构,机构/执行系统,若在设计中，通过飞行控制系统和飞行器气动设计的优化减少变体机构的,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,134,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0293
SR0923,SE0163,活动机翼,结构部件,采用,SE0124,副翼,结构部件,程中，全机的升力需重新分配，活动机翼的升力将通过副翼偏转卸载一部分，,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,126,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0235
SR0924,SE0163,活动机翼,结构部件,采用,SE0254,升力,性能指标,自设有一段副翼。在变体过程中，通过对副翼的偏转控制，使活动机翼的升力矢,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,43,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0401
SR0925,SE0163,活动机翼,结构部件,采用,SE0129,固定机翼,结构部件,和力矩通过活动机翼传导到连杆、固定机翼和机身上，进而造成连杆等变体机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,88,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0215
SR0926,SE0163,活动机翼,结构部件,采用,SE0018,大展弦比长航时飞行器,飞行器对象,与活动机翼的运动路径产生干涉。现有的大展弦比长航时飞行器通常采用背负,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,125,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0234
SR0927,SE0163,活动机翼,结构部件,采用,SE0266,展弦比,性能指标,与活动机翼的运动路径产生干涉。现有的大展弦比长航时飞行器通常采用背负,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,125,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0471
SR0928,SE0163,活动机翼,结构部件,采用,SE0337,阻力,性能指标,在变体过程中，活动机翼的阻力通过连杆传递到固定机翼，会产生弯矩和,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,107,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0523
SR0929,SE0078,滑动蒙皮,变形方式,采用,SE0175,翼面积,结构部件,采用滑动蒙皮技术，可以实现机翼翼面积、展长、,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,4,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0559
SR0930,SE0311,激波阻力,性能指标,采用,SE0258,后掠角,性能指标,降低激波阻力的需求，一般采用平直无后掠或近似平直的小后掠角设计。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,126,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0532
SR0931,SE0311,激波阻力,性能指标,采用,SE0337,阻力,性能指标,降低激波阻力的需求，一般采用平直无后掠或近似平直的小后掠角设计。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,126,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0530
SR0932,SE0425,空中变体飞行试验,研究方法,采用,SE0413,地面车载变体试验,研究方法,变体原理验证机并开展了空中变体飞行试验和地面车载变体试验。通过这些试,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0172
SR0933,SE0169,结构重量,结构部件,采用,SE0124,副翼,结构部件,于机翼结构重量的计算使用部件级的工程梁方法，在计算中已经将副翼的增重,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,134,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0242
SR0934,SE0169,结构重量,结构部件,采用,SE0088,单翼,气动布局,并使用少量木材和3D 打印树脂零件来降低结构重量，同时保持高强度。单翼,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,143,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0170
SR0935,SE0171,翼型,结构部件,采用,SE0254,升力,性能指标,对于二维翼型来说，通过零升攻角、升力线斜率和最大升力系数三个主要,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,71,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0517
SR0936,SE0171,翼型,结构部件,采用,SE0255,升力系数,性能指标,NACA2412 翼型，平均弦长均为1m。通过计算得到4 组机翼的升力系数和阻,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,74,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0106
SR0937,SE0171,翼型,结构部件,采用,SE0266,展弦比,性能指标,机翼翼型：大展弦比飞行器通常使用较厚的机翼翼型，用以改善机翼的,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,127,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0547
SR0938,SE0171,翼型,结构部件,采用,SE0278,攻角,性能指标,对于二维翼型来说，通过零升攻角、升力线斜率和最大升力系数三个主要,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,71,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0515
SR0939,SE0171,翼型,结构部件,采用,SE0281,最大升力系数,性能指标,对于二维翼型来说，通过零升攻角、升力线斜率和最大升力系数三个主要,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,71,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0274
SR0940,SE0171,翼型,结构部件,采用,SE0163,活动机翼,结构部件,厚度的翼型)。在使用较厚翼型的情况下，连杆的尺寸满足安放在活动机翼内,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,116,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0219
SR0941,SE0171,翼型,结构部件,采用,SE0339,零升攻角,性能指标,对于二维翼型来说，通过零升攻角、升力线斜率和最大升力系数三个主要,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,71,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0272
SR0942,SE0321,翼展,专业概念,采用,SE0440,ACADO,项目/机构,体，扩展30%巡航翼展，同时缩减30%起降翼展。通过ACADO 计算得到此,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,138,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0362
SR0943,SE0321,翼展,专业概念,采用,SE0116,下机翼,结构部件,示。在传统的双翼机设计中，有时会采用上机翼的翼展大于下机翼的设计，此时,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,75,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0433
SR0944,SE0321,翼展,专业概念,采用,SE0255,升力系数,性能指标,翼短25%，即翼展比为0.8。通过计算得到3 组机翼的升力系数和阻力系数曲,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,75,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0360
SR0945,SE0321,翼展,专业概念,采用,SE0295,气动外形,性能指标,下机翼的间距外，比较难以通过对梢根比、翼展比等气动外形参数的优化来提,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,78,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0448
SR0946,SE0321,翼展,专业概念,采用,SE0175,翼面积,结构部件,上，通过单-双折叠翼变体扩大巡航翼展，则飞机的机翼面积增加，较于原准,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,123,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0467
SR0947,SE0321,翼展,专业概念,采用,SE0329,起降翼展,专业概念,体，扩展30%巡航翼展，同时缩减30%起降翼展。通过ACADO 计算得到此,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,138,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0361
SR0948,SE0322,翼展比,性能指标,采用,SE0254,升力,性能指标,翼短25%，即翼展比为0.8。通过计算得到3 组机翼的升力系数和阻力系数曲,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,75,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0359
SR0949,SE0322,翼展比,性能指标,采用,SE0255,升力系数,性能指标,翼短25%，即翼展比为0.8。通过计算得到3 组机翼的升力系数和阻力系数曲,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,75,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0115
SR0950,SE0322,翼展比,性能指标,采用,SE0295,气动外形,性能指标,下机翼的间距外，比较难以通过对梢根比、翼展比等气动外形参数的优化来提,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,78,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0205
SR0951,SE0322,翼展比,性能指标,采用,SE0321,翼展,专业概念,翼短25%，即翼展比为0.8。通过计算得到3 组机翼的升力系数和阻力系数曲,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,75,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0358
SR0952,SE0175,翼面积,结构部件,采用,SE0321,翼展,专业概念,分，通过对外侧机翼的充气和放气，可以调整飞机的机翼面积和翼展。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,27,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0545
SR0953,SE0428,背景网格,研究方法,采用,SE0115,上机翼,结构部件,网格，其中下机翼和外流场为背景网格，上机翼和周围流场为重叠网格，通过,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,71,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0198
SR0954,SE0428,背景网格,研究方法,采用,SE0433,重叠网格,研究方法,网格，其中下机翼和外流场为背景网格，上机翼和周围流场为重叠网格，通过,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,71,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0202
SR0955,SE0326,航程,性能指标,采用,SE0010,全球鹰无人机,飞行器对象,的航程收益；3)在“全球鹰”无人机基础上，可以通过单-双折叠翼变体，在,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,139,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0438
SR0956,SE0326,航程,性能指标,采用,SE0046,单-双折叠翼,变形方式,的航程收益；3)在“全球鹰”无人机基础上，可以通过单-双折叠翼变体，在,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,139,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0439
SR0957,SE0326,航程,性能指标,采用,SE0036,高空长航时飞行器,飞行器对象,的最直接方法，为了提高气动效率、扩大航程，高空长航时飞行器往往采用大展,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,19,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0374
SR0958,SE0176,蒙皮,结构部件,采用,SE0055,变展长技术,变形方式,图 1.17 Ajaj 等人研发的基于0 泊松比的蜂窝结构和弹性蒙皮的变展长机翼,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,11,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0352
SR0959,SE0176,蒙皮,结构部件,采用,SE0258,后掠角,性能指标,翼变体方案 ，通过机翼蒙皮的滑动可以改变机翼的面积和后掠角，进而改变飞,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,26,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0380
